schema,table,column,inferred_dtype
agriculture,enteric_fermentation_cattle_feedlot_emissions_sources,end_time,string
agriculture,manure_left_on_pasture_cattle_emissions_sources_confidence,source_name,string
buildings,other_onsite_fuel_usage_country_emissions,emissions_quantity,string
agriculture,manure_left_on_pasture_cattle_country_emissions,modified_date,empty
forestry_and_land_use,removals_emissions_sources,other1_def,string
forestry_and_land_use,net_shrubgrass_emissions_sources,other10,empty
agriculture,cropland_fires_emissions_sources_confidence,iso3_country,string
manufacturing,pulp_and_paper_country_emissions,created_date,string
agriculture,rice_cultivation_emissions_sources_confidence,co2_emissions,empty
manufacturing,steel_emissions_sources_ownership,source_id,string
agriculture,cropland_fires_emissions_sources_confidence,n2o_emissions_factor,empty
manufacturing,steel_emissions_sources,other4_def,string
forestry_and_land_use,removals_country_emissions,emissions_quantity_units,string
power,electricity_generation_country_emissions,emissions_quantity_units,string
forestry_and_land_use,removals_emissions_sources_confidence,ch4_emissions,empty
forestry_and_land_use,forest_land_clearing_emissions_sources,other10_def,empty
fossil_fuel_operations,coal_mining_emissions_sources,temporal_granularity,string
transportation,international_shipping_country_emissions,created_date,string
forestry_and_land_use,net_shrubgrass_emissions_sources_confidence,capacity_factor,empty
manufacturing,aluminum_emissions_sources_ownership,source_id,string
forestry_and_land_use,forest_land_clearing_emissions_sources,subsector,string
agriculture,enteric_fermentation_cattle_feedlot_emissions_sources,other5,empty
agriculture,cropland_fires_emissions_sources,created_date,string
fossil_fuel_operations,oil_and_gas_production_and_transport_country_emissions,iso3_country,string
fossil_fuel_operations,oil_and_gas_production_and_transport_emissions_sources_ownershi,company_id,string
transportation,domestic_shipping_emissions_sources,other6,empty
forestry_and_land_use,forest_land_degradation_emissions_sources,other2_def,string
agriculture,enteric_fermentation_cattle_feedlot_emissions_sources_confidenc,ch4_emissions_factor,string
forestry_and_land_use,removals_emissions_sources,start_time,string
agriculture,synthetic_fertilizer_application_emissions_sources,created_date,string
fossil_fuel_operations,oil_and_gas_production_and_transport_emissions_sources_confiden,end_time,string
manufacturing,steel_emissions_sources,end_time,string
agriculture,enteric_fermentation_other_country_emissions,modified_date,string
agriculture,enteric_fermentation_cattle_feedlot_emissions_sources,other4_def,string
fossil_fuel_operations,other_fossil_fuel_operations_country_emissions,gas,string
fossil_fuel_operations,oil_and_gas_production_and_transport_emissions_sources,emissions_quantity,string
agriculture,rice_cultivation_emissions_sources,created_date,string
manufacturing,cement_emissions_sources,geometry_ref,string
manufacturing,other_manufacturing_country_emissions,subsector,string
waste,wastewater_treatment_and_discharge_emissions_sources,other10_def,empty
manufacturing,steel_emissions_sources,other5,string
forestry_and_land_use,forest_land_degradation_emissions_sources_confidence,co2_emissions,string
waste,wastewater_treatment_and_discharge_emissions_sources,subsector,string
fossil_fuel_operations,oil_and_gas_production_and_transport_emissions_sources,other10_def,empty
forestry_and_land_use,wetland_fires_emissions_sources,other4_def,empty
agriculture,cropland_fires_emissions_sources,start_time,string
manufacturing,steel_emissions_sources_ownership,relationship,string
forestry_and_land_use,shrubgrass_fires_emissions_sources_confidence,ch4_emissions_factor,empty
mineral_extraction,copper_mining_emissions_sources,capacity_units,empty
transportation,domestic_shipping_emissions_sources_confidence,end_time,string
power,electricity_generation_emissions_sources,created_date,string
forestry_and_land_use,net_forest_land_country_emissions,iso3_country,string
transportation,domestic_aviation_country_emissions,temporal_granularity,string
forestry_and_land_use,removals_emissions_sources,other7_def,empty
agriculture,enteric_fermentation_cattle_pasture_emissions_sources,other6,empty
transportation,international_shipping_emissions_sources_confidence,source_name,string
manufacturing,aluminum_emissions_sources,lat,string
fossil_fuel_operations,coal_mining_country_emissions,gas,string
forestry_and_land_use,water_reservoirs_emissions_sources,other7,empty
manufacturing,other_manufacturing_emissions_sources_confidence,ch4_emissions,string
manufacturing,aluminum_emissions_sources_ownership,relationship,string
forestry_and_land_use,forest_land_degradation_emissions_sources_confidence,total_co2e_100yrgwp,string
agriculture,cropland_fires_emissions_sources_confidence,sector,string
transportation,domestic_aviation_emissions_sources,modified_date,string
forestry_and_land_use,water_reservoirs_emissions_sources,source_name,string
agriculture,synthetic_fertilizer_application_emissions_sources_confidence,subsector,string
forestry_and_land_use,forest_land_degradation_country_emissions,emissions_quantity,string
fossil_fuel_operations,oil_and_gas_refining_emissions_sources_confidence,source_name,string
transportation,international_aviation_country_emissions,gas,string
transportation,domestic_shipping_emissions_sources,gas,string
transportation,domestic_shipping_country_emissions,subsector,string
fossil_fuel_operations,coal_mining_emissions_sources,iso3_country,string
agriculture,manure_left_on_pasture_cattle_country_emissions,temporal_granularity,string
agriculture,synthetic_fertilizer_application_emissions_sources,emissions_quantity,string
agriculture,manure_management_cattle_feedlot_emissions_sources,other4_def,string
transportation,road_transportation_emissions_sources,activity,string
agriculture,cropland_fires_emissions_sources_confidence,total_co2e_20yrgwp,string
fossil_fuel_operations,oil_and_gas_refining_emissions_sources_confidence,ch4_emissions,string
forestry_and_land_use,water_reservoirs_emissions_sources,activity_units,string
transportation,international_aviation_emissions_sources_ownership,created_date,string
forestry_and_land_use,net_forest_land_country_emissions,modified_date,empty
fossil_fuel_operations,coal_mining_emissions_sources,emissions_factor_units,string
transportation,domestic_aviation_emissions_sources_confidence,capacity,string
manufacturing,other_manufacturing_emissions_sources_confidence,source_name,string
manufacturing,other_manufacturing_emissions_sources,emissions_quantity,string
forestry_and_land_use,water_reservoirs_country_emissions,sector,string
fossil_fuel_operations,coal_mining_emissions_sources_confidence,capacity_factor,string
power,electricity_generation_emissions_sources,other10,empty
transportation,international_shipping_emissions_sources_confidence,ch4_emissions,empty
agriculture,enteric_fermentation_cattle_pasture_emissions_sources,other4,empty
buildings,residential_and_commercial_onsite_fuel_usage_country_emissions,subsector,string
forestry_and_land_use,net_wetland_emissions_sources,other2_def,string
manufacturing,aluminum_emissions_sources_confidence,capacity_factor,string
agriculture,rice_cultivation_emissions_sources,emissions_quantity,string
forestry_and_land_use,net_forest_land_emissions_sources,other6_def,empty
forestry_and_land_use,shrubgrass_fires_emissions_sources,activity,string
forestry_and_land_use,forest_land_fires_emissions_sources_confidence,n2o_emissions,empty
waste,biological_treatment_of_solid_waste_and_biogenic_country_emissi,end_time,string
manufacturing,cement_emissions_sources_ownership,modified_date,empty
manufacturing,petrochemicals_emissions_sources_confidence,created_date,string
manufacturing,steel_emissions_sources,other2,string
mineral_extraction,iron_mining_emissions_sources,other1_def,empty
power,electricity_generation_emissions_sources,emissions_quantity,string
mineral_extraction,iron_mining_emissions_sources_ownership,lon,string
fossil_fuel_operations,oil_and_gas_production_and_transport_emissions_sources_ownershi,source_id,string
transportation,domestic_aviation_emissions_sources_ownership,iso3_country,string
fossil_fuel_operations,oil_and_gas_production_and_transport_country_emissions,modified_date,string
agriculture,enteric_fermentation_other_country_emissions,iso3_country,string
power,electricity_generation_emissions_sources_ownership_data_source,recency,empty
power,electricity_generation_emissions_sources_confidence,end_time,string
forestry_and_land_use,net_forest_land_emissions_sources,lon,string
agriculture,rice_cultivation_emissions_sources,other10,empty
manufacturing,aluminum_country_emissions,emissions_quantity,empty
fossil_fuel_operations,coal_mining_emissions_sources,other9_def,empty
mineral_extraction,bauxite_mining_emissions_sources,source_type,string
manufacturing,cement_country_emissions,subsector,string
transportation,road_transportation_emissions_sources,other1,string
mineral_extraction,iron_mining_emissions_sources,other8,empty
manufacturing,cement_emissions_sources,source_id,string
transportation,domestic_shipping_emissions_sources,other1_def,string
manufacturing,aluminum_emissions_sources,other3_def,string
agriculture,synthetic_fertilizer_application_emissions_sources,other10,empty
forestry_and_land_use,shrubgrass_fires_emissions_sources,capacity_factor,string
mineral_extraction,bauxite_mining_emissions_sources,temporal_granularity,string
agriculture,synthetic_fertilizer_application_country_emissions,emissions_quantity,string
transportation,domestic_aviation_emissions_sources_ownership,company_id,string
forestry_and_land_use,wetland_fires_country_emissions,gas,string
transportation,domestic_aviation_country_emissions,modified_date,string
fossil_fuel_operations,oil_and_gas_refining_emissions_sources,created_date,string
transportation,domestic_aviation_emissions_sources_confidence,source_id,string
mineral_extraction,iron_mining_emissions_sources,start_time,string
forestry_and_land_use,removals_emissions_sources_confidence,source_name,string
agriculture,enteric_fermentation_cattle_feedlot_emissions_sources,other2,string
power,electricity_generation_emissions_sources_ownership,created_date,string
buildings,residential_and_commercial_onsite_fuel_usage_country_emissions,start_time,string
manufacturing,aluminum_emissions_sources,geometry_ref,string
manufacturing,steel_emissions_sources_ownership,ultimate_parent_id,string
mineral_extraction,copper_mining_emissions_sources_ownership,lon,string
transportation,international_aviation_emissions_sources_confidence,capacity_factor,empty
fossil_fuel_operations,coal_mining_emissions_sources_ownership,subsector,string
agriculture,manure_left_on_pasture_cattle_country_emissions,iso3_country,string
forestry_and_land_use,forest_land_clearing_emissions_sources_confidence,n2o_emissions,empty
mineral_extraction,copper_mining_country_emissions,emissions_quantity_units,string
manufacturing,steel_emissions_sources_ownership_data_source,url,string
manufacturing,chemicals_country_emissions,emissions_quantity,string
agriculture,manure_left_on_pasture_cattle_emissions_sources_confidence,ch4_emissions,string
transportation,domestic_aviation_emissions_sources,lon,string
forestry_and_land_use,net_shrubgrass_emissions_sources,created_date,string
mineral_extraction,copper_mining_emissions_sources,other1,empty
manufacturing,aluminum_emissions_sources_ownership,ultimate_parent_id,string
manufacturing,cement_emissions_sources_confidence,capacity_factor,string
manufacturing,cement_emissions_sources_ownership,percent_interest_parent,string
mineral_extraction,iron_mining_emissions_sources,other7_def,empty
forestry_and_land_use,forest_land_fires_emissions_sources,source_name,string
transportation,domestic_aviation_emissions_sources,other6_def,empty
agriculture,enteric_fermentation_other_country_emissions,temporal_granularity,empty
transportation,international_shipping_emissions_sources,source_name,string
fossil_fuel_operations,oil_and_gas_production_and_transport_emissions_sources_ownershi,percent_interest_parent,empty
fossil_fuel_operations,oil_and_gas_refining_emissions_sources,other10_def,empty
agriculture,manure_left_on_pasture_cattle_emissions_sources,other2_def,string
agriculture,manure_management_cattle_feedlot_emissions_sources,other5,empty
transportation,international_aviation_emissions_sources,other4,empty
mineral_extraction,bauxite_mining_emissions_sources,iso3_country,string
manufacturing,cement_country_emissions,start_time,string
mineral_extraction,bauxite_mining_country_emissions,emissions_quantity_units,string
fossil_fuel_operations,oil_and_gas_refining_emissions_sources_ownership,lon,string
transportation,international_shipping_emissions_sources,other7_def,empty
manufacturing,petrochemicals_emissions_sources,other2_def,empty
power,electricity_generation_emissions_sources_ownership_data_source,created_date,string
forestry_and_land_use,wetland_fires_emissions_sources,other2,string
forestry_and_land_use,net_forest_land_emissions_sources_confidence,start_time,string
transportation,domestic_aviation_emissions_sources_ownership,sector,string
forestry_and_land_use,forest_land_fires_emissions_sources,other7,empty
manufacturing,cement_emissions_sources,lat,string
agriculture,manure_management_cattle_feedlot_emissions_sources,end_time,string
transportation,international_aviation_emissions_sources,start_time,string
power,other_energy_use_country_emissions,start_time,string
forestry_and_land_use,forest_land_fires_emissions_sources,other10,empty
manufacturing,cement_emissions_sources_ownership,subsector,string
waste,wastewater_treatment_and_discharge_emissions_sources,other2_def,string
fossil_fuel_operations,oil_and_gas_refining_emissions_sources,other5_def,string
forestry_and_land_use,net_wetland_country_emissions,modified_date,empty
waste,solid_waste_disposal_emissions_sources,temporal_granularity,string
agriculture,cropland_fires_country_emissions,sector,string
transportation,international_shipping_emissions_sources,other10_def,empty
fossil_fuel_operations,oil_and_gas_refining_country_emissions,emissions_quantity,string
forestry_and_land_use,forest_land_clearing_emissions_sources_confidence,co2_emissions,string
fossil_fuel_operations,coal_mining_emissions_sources_ownership,percent_interest_parent,string
forestry_and_land_use,removals_emissions_sources_confidence,ch4_emissions_factor,empty
waste,solid_waste_disposal_emissions_sources,source_type,string
agriculture,enteric_fermentation_cattle_pasture_emissions_sources,other1_def,string
manufacturing,steel_emissions_sources,other6_def,empty
agriculture,enteric_fermentation_cattle_pasture_emissions_sources,other8,empty
forestry_and_land_use,forest_land_degradation_emissions_sources,other10_def,empty
forestry_and_land_use,forest_land_degradation_emissions_sources,subsector,string
manufacturing,petrochemicals_emissions_sources_confidence,total_co2e_20yrgwp,string
forestry_and_land_use,shrubgrass_fires_country_emissions,start_time,string
transportation,international_aviation_emissions_sources,other7_def,empty
fossil_fuel_operations,oil_and_gas_production_and_transport_emissions_sources,other9,empty
forestry_and_land_use,forest_land_clearing_emissions_sources_confidence,total_co2e_100yrgwp,string
forestry_and_land_use,net_forest_land_emissions_sources,other2,string
forestry_and_land_use,shrubgrass_fires_emissions_sources,other3,string
manufacturing,steel_emissions_sources,lon,string
fluorinated_gases,fluorinated_gases_country_emissions,start_time,string
transportation,road_transportation_emissions_sources_confidence,start_time,string
mineral_extraction,iron_mining_emissions_sources,other4,empty
fossil_fuel_operations,coal_mining_emissions_sources,capacity,string
transportation,road_transportation_emissions_sources,other3_def,empty
forestry_and_land_use,net_shrubgrass_emissions_sources,activity_units,empty
fossil_fuel_operations,oil_and_gas_production_and_transport_emissions_sources,end_time,string
transportation,international_aviation_emissions_sources_ownership,end_date,string
forestry_and_land_use,forest_land_fires_emissions_sources,emissions_quantity,string
agriculture,cropland_fires_emissions_sources_confidence,created_date,string
transportation,international_shipping_emissions_sources,emissions_quantity,string
agriculture,manure_management_cattle_feedlot_emissions_sources,modified_date,empty
manufacturing,other_manufacturing_emissions_sources,source_name,string
forestry_and_land_use,net_wetland_emissions_sources_confidence,start_time,string
transportation,road_transportation_emissions_sources,emissions_factor,string
manufacturing,other_manufacturing_emissions_sources_confidence,ch4_emissions_factor,empty
agriculture,enteric_fermentation_cattle_feedlot_emissions_sources,lon,string
agriculture,rice_cultivation_emissions_sources,source_name,string
waste,solid_waste_disposal_emissions_sources,iso3_country,string
fossil_fuel_operations,oil_and_gas_production_and_transport_emissions_sources,other8_def,empty
agriculture,synthetic_fertilizer_application_emissions_sources,other7,empty
forestry_and_land_use,shrubgrass_fires_emissions_sources_confidence,ch4_emissions,empty
forestry_and_land_use,wetland_fires_emissions_sources,other6_def,empty
manufacturing,pulp_and_paper_country_emissions,emissions_quantity_units,string
agriculture,rice_cultivation_emissions_sources,other7,empty
agriculture,synthetic_fertilizer_application_emissions_sources,source_name,string
forestry_and_land_use,removals_emissions_sources,other6,empty
agriculture,enteric_fermentation_cattle_pasture_emissions_sources,other7_def,string
power,electricity_generation_country_emissions,created_date,string
forestry_and_land_use,removals_country_emissions,created_date,string
manufacturing,other_manufacturing_emissions_sources,other10_def,empty
transportation,domestic_aviation_emissions_sources,other2,empty
transportation,international_shipping_country_emissions,emissions_quantity_units,string
manufacturing,aluminum_emissions_sources,other8_def,empty
forestry_and_land_use,net_shrubgrass_emissions_sources_confidence,source_type,empty
mineral_extraction,copper_mining_emissions_sources_confidence,end_time,string
forestry_and_land_use,shrubgrass_fires_emissions_sources,emissions_factor,string
forestry_and_land_use,forest_land_fires_emissions_sources_confidence,co2_emissions,string
power,other_energy_use_country_emissions,subsector,string
waste,solid_waste_disposal_country_emissions,emissions_quantity_units,string
transportation,international_aviation_emissions_sources,other1_def,string
mineral_extraction,bauxite_mining_emissions_sources_ownership,lat,string
agriculture,enteric_fermentation_cattle_feedlot_country_emissions,created_date,string
forestry_and_land_use,forest_land_clearing_emissions_sources,other2_def,string
manufacturing,steel_country_emissions,end_time,string
forestry_and_land_use,water_reservoirs_emissions_sources,created_date,string
mineral_extraction,sand_quarrying_country_emissions,gas,string
transportation,international_aviation_emissions_sources,other8,empty
agriculture,enteric_fermentation_cattle_feedlot_emissions_sources_confidenc,ch4_emissions,string
power,electricity_generation_emissions_sources,other7,empty
fossil_fuel_operations,coal_mining_emissions_sources_ownership,modified_date,empty
agriculture,enteric_fermentation_cattle_pasture_emissions_sources_confidenc,capacity_factor,string
fossil_fuel_operations,oil_and_gas_refining_emissions_sources,geometry_ref,string
fluorinated_gases,fluorinated_gases_country_emissions,subsector,string
power,electricity_generation_emissions_sources,source_name,string
transportation,other_transport_country_emissions,emissions_quantity,string
agriculture,enteric_fermentation_cattle_pasture_emissions_sources,start_time,string
manufacturing,aluminum_emissions_sources,other9,empty
forestry_and_land_use,forest_land_fires_emissions_sources_confidence,total_co2e_100yrgwp,string
forestry_and_land_use,wetland_fires_emissions_sources,lon,string
power,electricity_generation_emissions_sources_ownership,end_date,string
agriculture,enteric_fermentation_cattle_feedlot_emissions_sources,other6_def,string
agriculture,cropland_fires_emissions_sources,other9_def,empty
forestry_and_land_use,shrubgrass_fires_country_emissions,subsector,string
mineral_extraction,bauxite_mining_emissions_sources_confidence,start_time,string
mineral_extraction,iron_mining_emissions_sources_ownership,created_date,string
forestry_and_land_use,wetland_fires_country_emissions,modified_date,empty
manufacturing,steel_emissions_sources_confidence,capacity,string
forestry_and_land_use,wetland_fires_emissions_sources_confidence,sector,string
agriculture,manure_management_cattle_feedlot_emissions_sources,source_name,string
manufacturing,petrochemicals_emissions_sources_confidence,end_time,string
waste,wastewater_treatment_and_discharge_emissions_sources,source_id,string
mineral_extraction,bauxite_mining_emissions_sources,other6,empty
transportation,international_shipping_emissions_sources,other5_def,empty
forestry_and_land_use,forest_land_clearing_country_emissions,start_time,string
fossil_fuel_operations,other_fossil_fuel_operations_country_emissions,iso3_country,string
agriculture,enteric_fermentation_cattle_feedlot_emissions_sources_confidenc,capacity_factor,string
mineral_extraction,bauxite_mining_country_emissions,sector,string
agriculture,enteric_fermentation_cattle_pasture_country_emissions,start_time,string
agriculture,enteric_fermentation_cattle_pasture_emissions_sources_confidenc,ch4_emissions,string
power,electricity_generation_emissions_sources_confidence,created_date,string
transportation,domestic_shipping_emissions_sources,activity,string
forestry_and_land_use,forest_land_fires_emissions_sources,other5,empty
forestry_and_land_use,forest_land_degradation_emissions_sources,other9,empty
transportation,international_shipping_emissions_sources,end_time,string
agriculture,other_agricultural_soil_emissions_country_emissions,created_date,string
agriculture,synthetic_fertilizer_application_emissions_sources_confidence,n2o_emissions,string
fossil_fuel_operations,oil_and_gas_production_and_transport_emissions_sources,emissions_factor_units,string
forestry_and_land_use,forest_land_fires_emissions_sources,end_time,string
transportation,international_aviation_emissions_sources,emissions_factor_units,string
fossil_fuel_operations,oil_and_gas_production_and_transport_country_emissions,gas,string
agriculture,manure_management_cattle_feedlot_emissions_sources,other7,empty
forestry_and_land_use,wetland_fires_emissions_sources,activity_units,string
agriculture,rice_cultivation_emissions_sources_confidence,modified_date,empty
transportation,international_aviation_country_emissions,iso3_country,string
forestry_and_land_use,water_reservoirs_emissions_sources_confidence,sector,string
waste,solid_waste_disposal_emissions_sources_confidence,sector,string
forestry_and_land_use,shrubgrass_fires_emissions_sources,other1,string
transportation,domestic_shipping_emissions_sources,other1,string
forestry_and_land_use,forest_land_clearing_emissions_sources,lat,string
forestry_and_land_use,shrubgrass_fires_emissions_sources_confidence,capacity_factor,empty
forestry_and_land_use,forest_land_degradation_emissions_sources_confidence,co2_emissions_factor,string
agriculture,enteric_fermentation_cattle_feedlot_emissions_sources,activity_units,string
forestry_and_land_use,net_forest_land_emissions_sources,created_date,string
transportation,international_aviation_emissions_sources_ownership,lon,string
forestry_and_land_use,net_forest_land_country_emissions,gas,string
mineral_extraction,copper_mining_country_emissions,sector,string
fossil_fuel_operations,coal_mining_country_emissions,iso3_country,string
transportation,international_aviation_emissions_sources,other9_def,empty
transportation,road_transportation_emissions_sources,other1_def,string
forestry_and_land_use,forest_land_degradation_emissions_sources,other8_def,empty
forestry_and_land_use,removals_emissions_sources_confidence,source_type,empty
mineral_extraction,copper_mining_emissions_sources,capacity_factor,empty
fossil_fuel_operations,other_fossil_fuel_operations_country_emissions,temporal_granularity,empty
forestry_and_land_use,net_forest_land_emissions_sources_confidence,activity,empty
forestry_and_land_use,wetland_fires_emissions_sources_confidence,n2o_emissions_factor,empty
mineral_extraction,copper_mining_emissions_sources_confidence,total_co2e_20yrgwp,string
manufacturing,steel_emissions_sources,activity_units,string
waste,wastewater_treatment_and_discharge_emissions_sources,lat,string
agriculture,enteric_fermentation_cattle_pasture_emissions_sources,other9_def,string
power,electricity_generation_emissions_sources,modified_date,string
manufacturing,steel_emissions_sources_confidence,source_id,string
forestry_and_land_use,net_shrubgrass_emissions_sources,lon,string
transportation,domestic_aviation_emissions_sources,created_date,string
agriculture,enteric_fermentation_cattle_pasture_country_emissions,subsector,string
forestry_and_land_use,forest_land_degradation_emissions_sources_confidence,modified_date,empty
forestry_and_land_use,forest_land_clearing_country_emissions,subsector,string
fossil_fuel_operations,oil_and_gas_refining_emissions_sources_ownership,created_date,string
forestry_and_land_use,forest_land_fires_country_emissions,end_time,string
forestry_and_land_use,wetland_fires_emissions_sources_confidence,iso3_country,string
agriculture,rice_cultivation_emissions_sources_confidence,co2_emissions_factor,empty
forestry_and_land_use,forest_land_fires_emissions_sources,other4_def,empty
power,electricity_generation_emissions_sources_ownership,lon,string
